domain,label,anchor_item,anchor_auroc,anchor_auprc,panel_auroc,panel_auprc,crossdx_gain_auroc
dep,Depression (PHQ-9),PHQ2,0.877,0.449,0.953,0.799,0.076
anx,Anxiety (GAD-7),GAD2,0.929,0.514,0.958,0.759,0.028
ptsd,PTSD (PCL-5),PCL11,0.894,0.396,0.934,0.582,0.04
panic,Panic (PDSS),PDSS2,0.972,0.538,0.97,0.592,-0.002
suicide,Suicidality (DSI-SS),DSI2,0.945,0.618,0.964,0.744,0.019
alcohol,Alcohol use (AUDIT),AUDIT3,0.824,0.514,0.873,0.652,0.049
sleep,Insomnia (ISI)  [NEW 7th domain],ISI5,0.855,0.376,0.868,0.457,0.013
